country_iso,>=0.001,>=0.0001,>=0.00001,>=0.001_mean_value,>=0.0001_mean_value,>=0.00001_mean_value
AGO,0(0-3.46),0(0-5.4),4.68(0-25.71),0.64,1.59,5.07
BDI,0(0-1.41),5.73(0-34.16),63.52(14.54-82.05),0.08,9.3,57.42
BEN,0(0-1.2),0(0-12.32),1.2(0-20.93),0.13,2.21,5.71
BFA,0(0-0),0(0-0),0(0-0),0,0,0
CAF,0(0-0.04),0(0-3.86),0(0-98.19),0,0.53,19.01
CIV,0(0-0),0(0-0),0(0-17.17),0,0,2.02
CMR,0.02(0.01-1.67),1.34(0.01-8.11),5.72(1.54-7.86),0.5,3.06,5.21
COD,6.03(3.5-13.3),11.35(7.28-35.84),21.63(13.11-38.85),6.85,15.41,22.9
COG,0(0-0.49),0.04(0-2.61),1.25(0-25.77),0.07,0.38,3.48
ETH,0(0-2.5),0.09(0-7.3),1.68(0-4.7),0.39,1.29,1.63
GHA,0(0-0.26),0(0-5.72),0.23(0-18.52),0.04,1.61,4.46
GIN,0(0-0),0(0-0),0(0-0.25),0,0.01,0.07
KEN,1.71(0.63-3.4),5.79(3.92-8.15),5.48(3.35-8.21),1.79,5.87,5.56
LBR,0.07(0-1.6),3.82(0-10.78),16.02(0-44.21),0.31,4.06,16.8
MLI,0(0-0),0(0-0),0(0-0.01),0,0,0
MOZ,1.54(0.47-3.2),6.17(0.75-11.25),6.83(2.33-11.8),1.58,5.43,7.01
MRT,0(0-0.01),0(0-0.09),0(0-0.99),0,0.02,0.13
MWI,1.19(0-2.56),10.59(0.15-25.11),25.67(2.92-29.27),0.99,9.88,21.06
NER,0(0-2.5),0.09(0-7.3),1.68(0-4.7),0.39,1.29,1.63
NGA,0.47(0.01-1.86),1.72(0.59-5.06),3.29(1.07-6.94),0.76,2.26,3.83
RWA,0(0-0),0(0-8.1),0(0-50.95),0.01,1.03,6.94
SDN,0(0-1.25),0.03(0-7.68),0.96(0-24.62),0.23,1.56,5.83
SEN,0(0-0.02),0(0-0.25),0(0-2.21),0,0.02,0.21
SLE,0(0-0),0(0-0),0(0-0.24),0,0.01,0.03
SOM,20.22(10.27-45.34),22.54(17.07-29.4),18.91(15.6-22.25),24.55,23.09,19.03
SSD,7.42(0-14.35),6.13(0-10.14),8(0-11.9),6.09,4.54,5.59
TCD,0(0-1.5),0(0-1.92),0.01(0-1.92),0.29,0.52,0.52
TGO,0(0-0),0(0-1.53),0.1(0-11.67),0.01,0.22,2.09
TZA,1.9(0.03-12.13),11.9(2.06-14.91),13.13(1.09-27.95),3.69,9.22,13.15
TZA_M,1.85(0.02-12.22),5.19(0.25-14.04),13.23(0.49-28.16),3.63,6.87,12.8
UGA,0.62(0.1-1.28),5.1(0.96-14.33),15.89(9-17.19),0.57,5.5,14.82
ZMB,0.16(0-11.51),2.88(0.02-12.79),8.31(3.11-11.89),4.58,5.8,7.98
ZNZ,26.83(0-46.32),53.68(0-73.17),0(0-0),20,40,0
ZWE,0(0-13.05),0.05(0-15.39),8.74(0-40.32),2.28,2.7,11.71
