"","country","current_rates_mean","current_cases_mean","lancet_rates_mean","lancet_cases_mean","current_rates_quantile_low","current_cases_quantile_low","lancet_rates_quantile_low","lancet_cases_quantile_low","current_rates_quantile_high","current_cases_quantile_high","lancet_rates_quantile_high","lancet_cases_quantile_high"
"2.5%","AGO",1.22742246766186e-05,372.833551401086,8.67260135158194e-05,2634.33075977139,2.45103819133875e-07,7.44510791982886,8.57545056321375e-05,2604.820893036,6.72528257031366e-05,2042.8263706483,8.77037042370479e-05,2664.0284322005
"2.5%1","BDI",3.83906519485099e-05,423.272581922991,5.91899812799705e-05,652.593663529047,2.46286588065163e-05,271.540999520306,5.75373751694072e-05,634.373007723096,6.18057007018615e-05,681.433036061059,6.08651709160472e-05,671.063311906569
"2.5%2","BEN",1.81099733132864e-05,205.540590917009,4.63143901199375e-05,525.64887581744,1.27834015905464e-11,0.000145086239024034,4.53946336163416e-05,515.210025799358,0.000179383554069599,2035.92799759724,4.71821663642201e-05,535.497771724025
"2.5%3","BFA",3.27603642974221e-09,0.0639054690050505,2.95336476247927e-06,57.6111298933508,1.78490604940073e-79,3.48180677056395e-72,2.70617706542582e-06,52.7892525878769,9.32509269858604e-09,0.181904089041405,3.21340284683709e-06,62.6836790229003
"2.5%4","CAF",1.41635691957636e-05,66.023017490053,3.55371757481128e-05,165.655389791616,3.79362698566331e-19,1.76838689007925e-12,3.32893732440636e-05,155.177331472572,0.000103059970306997,480.410702137031,3.76472613459768e-05,175.491485228277
"2.5%5","CIV",3.01881544914762e-06,74.8732992492267,2.00820241255342e-05,498.078609709601,9.09148660925132e-13,2.25488973732069e-05,1.94676755474638e-05,482.841406341574,2.93417517079329e-05,727.740331640638,2.0641823491307e-05,511.962871977065
"2.5%6","CMR",4.83054296373615e-05,1203.87371407388,0.000303814905972502,7571.71154443541,3.18289981996e-05,793.246112610214,0.000301964710041853,7525.60073942825,7.86393259618912e-05,1959.85871834137,0.00030571458016173,7619.05545254025
"2.5%7","COD",0.000635384657758946,52675.2739498809,0.000282720033127192,23438.3298593025,7.90532563073995e-05,6553.74957794814,0.000281513872619376,23338.3355733202,0.00330467012862102,273966.961923624,0.000283914618960061,23537.3645703781
"2.5%8","COG",4.47698553288992e-06,23.2225380802618,0.000122156790796833,633.638573366322,2.6726322561478e-07,1.38631907311223,0.000119355879756097,619.10998871375,1.62830767361393e-05,84.4618252149526,0.000124927211552978,648.009002092367
"2.5%9","ETH",0.000268657754274903,28988.0421932245,6.90963222746449e-05,7455.45986900685,2.00668404095014e-05,2165.20240796812,6.84267290650866e-05,7383.21108443943,0.00122896077750878,132604.275534103,6.97982993623332e-05,7531.20285841546
