country_name,ISO_2,ISO_3,region
ALGERIA,DZ,DZA,AFRINIC
ANGOLA,AO,AGO,AFRINIC
BENIN,BJ,BEN,AFRINIC
BOTSWANA,BW,BWA,AFRINIC
BURKINA FASO,BF,BFA,AFRINIC
BURUNDI,BI,BDI,AFRINIC
CAMEROON,CM,CMR,AFRINIC
CAPE VERDE,CV,CPV,AFRINIC
CENTRAL AFRICAN REPUBLIC,CF,CAF,AFRINIC
CHAD,TD,TCD,AFRINIC
COMOROS,KM,COM,AFRINIC
CONGO,CG,COG,AFRINIC
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",CD,COD,AFRINIC
COTE D’IVOIRE,CI,CIV,AFRINIC
DJIBOUTI,DJ,DJI,AFRINIC
EGYPT,EG,EGY,AFRINIC
EQUATORIAL GUINEA,GQ,GNQ,AFRINIC
ERITREA,ER,ERI,AFRINIC
ETHIOPIA,ET,ETH,AFRINIC
GABON,GA,GAB,AFRINIC
GAMBIA,GM,GMB,AFRINIC
GHANA,GH,GHA,AFRINIC
GUINEA,GN,GIN,AFRINIC
GUINEA-BISSAU,GW,GNB,AFRINIC
KENYA,KE,KEN,AFRINIC
LESOTHO,LS,LSO,AFRINIC
LIBERIA,LR,LBR,AFRINIC
LIBYAN ARAB JAMAHIRIYA,LY,LBY,AFRINIC
MADAGASCAR,MG,MDG,AFRINIC
MALI,ML,MLI,AFRINIC
MALAWI,MW,MWI,AFRINIC
MAURITANIA,MR,MRT,AFRINIC
MAURITIUS,MU,MUS,AFRINIC
MAYOTTE,YT,MYT,AFRINIC
MOROCCO,MA,MAR,AFRINIC
MOZAMBIQUE,MZ,MOZ,AFRINIC
NAMIBIA,NA,NAM,AFRINIC
NIGER,NE,NER,AFRINIC
NIGERIA,NG,NGA,AFRINIC
REUNION ISLAND,RE,REU,AFRINIC
RWANDA,RW,RWA,AFRINIC
SAO TOME AND PRINCIPE,ST,STP,AFRINIC
SENEGAL,SN,SEN,AFRINIC
SEYCHELLES,SC,SYC,AFRINIC
SIERRA LEONE,SL,SLE,AFRINIC
SOMALIA,SO,SOM,AFRINIC
SOUTH AFRICA,ZA,ZAF,AFRINIC
SOUTH SUDAN,SS,SSD,AFRINIC
SUDAN,SD,SDN,AFRINIC
SWAZILAND,SZ,SWZ,AFRINIC
"TANZANIA, UNITED REPUBLIC OF",TZ,TZA,AFRINIC
TOGO,TG,TGO,AFRINIC
TUNISIA,TN,TUN,AFRINIC
UGANDA,UG,UGA,AFRINIC
WESTERN SAHARA,EH,ESH,AFRINIC
ZAMBIA,ZM,ZMB,AFRINIC
ZIMBABWE,ZW,ZWE,AFRINIC
